pool_id,tvl_usd,current_votes,projected_rewards,pool_name,pool_type
0xd6989c6fec14a38a8e2cd3e4cf6ce3a5ebcf35b6,3804.732113,2229.923756,25.5829376,SPON/WETH,non_partner
0x70ec92037d0e3b0426f9f33bd1883e4a87432a20,3855.787085,24090.75249,49.04800975,WETH/LITKEY,non_partner
0x1062e43febf02ef5e126e3fd1cecafdb59755535,102.7463994,61.60043609,0.9648556424,WETH/SAPIEN,non_partner
0x1ad9e6154a45aacbf98f96f386e4c477a5c8d490,1200.110215,1280.666354,8.363664056,WETH/MIGGLES,non_partner
0xe2db999b64616669553c3bd37291f91ea471fc3d,2291.552112,1779.254712,16.5196336,WETH/AIXBT,non_partner
0x55a6b5812b590e777b1323791007bcf70cc96022,539.1262426,61.60043609,0.7359940292,WETH/SONG,partner
0xd4c9368fced2b253ef123b508aa7dbdce34a360c,159.492649,1594.799681,8.925356289,WETH/GIZA,non_partner
0xdc2b01bc65cc123ea030ebc0c03626476581ebd2,1546.441255,1742.511405,16.49052653,WETH/TOSHI,non_partner
0x305e9b85f2399fd3869855c976c44f4ee02a3430,400.3982265,61.60043609,1.106395667,RECALL/USDC,non_partner
0xfd345d127648f91750009bfd6f5b1db278074795,17.68308314,193.3751014,0.2053232279,WETH/ZEN,non_partner
0x22a369630b5c405e0246627e9dc25864d0bb2e5d,227.4500977,193.3751014,0.4589730223,WETH/BENJI,non_partner
0x3e83d211d2ca52db3cf51d9540c979cac298aa1b,290.9771067,578.2303806,1.467981761,USDC/CARV,non_partner
0xa90c37005828d20338c2f1d1ff60c20e13d89ef2,302.5187557,716.5208843,2.937102884,FLOCK/USDC,non_partner
0xc5794d7d72aaae524b878639eb613ea3f7234336,0.1007138267,0,0,WETH/KING,non_partner
0xfe808a64965e111b96600e69f8d0296d9c727bcc,811.3910976,0,0,USDC/hwUSD,non_partner
0x3179551ecbbd5d5f8b332cc49f0377f408d24a86,12.63404887,0,0.005915656036,WETH/latenightonbase,non_partner
0x2Df4Af05F8C4AFf0d3FbfC327595dbb7Fc6498BF,141464.3757,208269.1509,4123.530278,WETH/REPPO,non_partner
0x10e90f2e9D1aBA759d151247416644331584E04d,62627.42746,2495.654905,22.16092366,ARIO/USDC,non_partner
0x872b51a939a82e2c4af7ca2633ff75cf99d93f58,0.08687515124,0,0.00009141852157,WETH/ETHFI,non_partner
0x96d5583fe2159a8de88ee04bc16d8da7e5b0854d,2773.63109,193.3751014,0.5732659834,WETH/AYB,non_partner
0x850279e38330cDcb53e33F99Ba776D1888c94304,547.6544668,0,0.210413334,GHO/frxUSD,non_partner
0x7d4d7988152742e00d0b7245490bc4a06480e668,1142.54822,502.7787301,5.133482556,WETH/Billy,non_partner
0x957304c031843c9e1283c8065db522c3d5bcc21f,51.1957874,0,0.03518521964,WETH/A0X,non_partner
0x8323ba10155388825fba72f4c81dd6642d7321ef,4721.678865,2676.236955,42.45099806,WETH/SERV,non_partner
0x77001b2d57cb4f2b05e9fbab31c593794a289760,326.3896624,578.2303806,0.7929141316,WETH/MORPHO,non_partner
0x0e10d9b9873e798e59ecace18eb9c6e220dc111c,1624.065197,0,0.261142598,USDC/frxUSD,non_partner
0x19FF35059452Faa793DdDF9894a1571c5D41003e,11443.70787,3087.930024,73.56826947,OTTO/WETH,partner
0x761A383fEb283e02a19E3E1baa0524f969329d6C,9004.199239,1749.378214,48.53572492,WETH/PIGGY,non_partner
0x6C072f7c8E54Ff147817d0Dd6Fd08734EDE6dE1f,603.8581495,736.1073925,3.216274178,SOL/cbBTC,non_partner
